,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
0,"[6, [1], 0]",-2.4429557971145988,-1.0873696105500388,-0.771545163584638,0.3158244469654008,113.0,0.005172953542579047,0.19469027691160457,2.4429557971145988,13.0,0.0
1,"[6, [1, 2], 0]",-2.5615383419942264,-0.9183218472980954,-0.6604776914539396,0.25784415584415576,138.0,0.005550662963054145,0.41623696024412415,2.5615383419942264,38.0,0.0
2,"[7, [1], 0]",-3.0651193510109698,-1.0875050078554613,-0.819983955223881,0.2675210526315803,107.0,0.0022729463699091316,0.20763315161530616,3.0651193510109698,7.0,0.0
3,"[7, [1, 2], 0]",-3.251614104866702,-0.8172603350970018,-0.625036790123457,0.19222354497354477,131.0,0.01125373571037848,0.527959970354061,3.251614104866702,31.0,0.0
