,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
0,"[13, [0], 0]",-5.028430254320668,-0.8632910863646162,-0.7200877896613189,0.14320329670329723,101.0,0.005933083441215377,0.5858450836094227,5.028430254320668,1.0,0.0
1,"[18, [1], 0]",-3.531274355172649,-1.2603748791532885,-0.9822246767241385,0.27815020242915,93.0,0.00023876466107430517,0.1927459932079051,3.531274355172649,7.0,0.0
2,"[18, [1, 2], 0]",-2.475789077431928,-1.2668750242028661,-0.9023894366197176,0.36448558758314853,111.0,0.0001118057827525246,0.1259996111354979,2.475789077431928,11.0,0.0
3,"[29, [27.690000000000001], 2]",10.859689640777322,-0.6012767399267398,-0.6622600732600734,-0.06098333333333361,60.0,0.033087928230606675,0.663236774914371,10.859689640777322,40.0,0.0
4,"[35, [77.372500000000002], 1]",55.66378865690395,-0.8336227770177844,-0.8488727770177844,-0.015249999999999986,60.0,0.013552904926246364,0.8894828951131766,55.66378865690395,40.0,0.0
5,"[37, [73.530000000000001], 1]",8.959365269185561,-0.5487967881530231,-0.6177466063348414,-0.06894981818181822,60.0,0.047250978490599116,0.6547487396661977,8.959365269185561,40.0,0.0
