,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
0,"[22, [1], 0]",-4.5827535656771925,-0.8404090229876733,-0.6898723723723723,0.15053665061530097,109.0,0.009201290116961624,0.3337515038410924,4.5827535656771925,9.0,0.0
1,"[22, [1, 2], 0]",-2.4355402719908494,-1.011780519171233,-0.7172764705882368,0.29450404858299617,125.0,0.0071747803999804415,0.19778399753828324,2.4355402719908494,25.0,0.0
2,"[23, [1], 0]",-3.614156984101493,-1.0476015894849322,-0.8205608552631576,0.22704073422177462,102.0,0.0031932931129008664,0.22132089152793655,3.614156984101493,2.0,0.0
3,"[23, [1, 2], 0]",-2.047284984222975,-1.4078691938691934,-0.9458614718614715,0.4620077220077219,119.0,0.000767582201121484,0.05026347568737009,2.047284984222975,19.0,0.0
4,"[34, [25.329999999999998], 2]",2179.0254090000717,-0.9781461404233847,-0.9785952380952398,-0.000449097671855192,60.0,0.009852003276747932,0.7384209052783373,2179.0254090000717,40.0,0.0
5,"[39, [47.920000000000002], 1]",-5.3606056453663635,-0.7682586467044281,-0.6474747639205463,0.12078388278388186,120.0,0.03625188686835586,0.5359277532234438,5.3606056453663635,20.0,0.0
