,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
0,"[25, [73.314999999999998], 1]",11.327726637867803,-0.7206685052630046,-0.7904484801338141,-0.06977997487080945,60.0,0.01610355319101486,0.6203824597546055,11.327726637867803,40.0,0.0
1,"[26, [71.462500000000006], 1]",4.194655327703585,-0.48320848460311616,-0.6344637641360293,-0.15125527953291318,60.0,0.03664528173741687,0.4974750920193086,4.194655327703585,40.0,0.0
2,"[31, [22.509999999999998], 2]",12.052322934693882,-0.7823743427102654,-0.8531625695231417,-0.07078822681287633,60.0,0.010875062485612402,0.6523468273515132,12.052322934693882,40.0,0.0
3,"[34, [72.822499999999991], 1]",4.88840137462857,-0.5258256424530865,-0.6610549029620572,-0.13522926050897066,60.0,0.018822158908507875,0.5294400581467005,4.88840137462857,40.0,0.0
4,"[38, [70.567499999999995], 1]",10.206696566686194,-0.7879809391854868,-0.8735687429626573,-0.08558780377717046,60.0,0.03951495396832725,0.4707379536098433,10.206696566686194,40.0,0.0
5,"[41, [28.217500000000001], 2]",4.619262779912643,-0.5226325713097966,-0.6670356177562917,-0.14440304644649515,60.0,0.042751534120935415,0.3686083185266018,4.619262779912643,40.0,0.0
