,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
0,"[15, [1], 0]",4.169650640614793,-0.5264970683374166,-0.6926027777777781,-0.16610570944036152,92.0,0.01149006734297547,0.4451443273374571,4.169650640614793,8.0,0.0
1,"[15, [1, 2], 0]",-130.88848501495403,-0.777531257283905,-0.7716358885017423,0.005895368782162791,110.0,0.0010381474366707667,0.8237892282956183,130.88848501495403,10.0,0.0
2,"[21, [1, 2], 0]",-7.626740923521344,-0.7226463608601232,-0.6388781838316717,0.08376817702845152,128.0,0.00165295195101566,0.5576657615664782,7.626740923521344,28.0,0.0
3,"[22, [1], 0]",15.376607493888626,-0.5764350925630959,-0.6165304414003048,-0.04009534883720889,109.0,0.0146118006154986,0.7453851075579008,15.376607493888626,9.0,0.0
4,"[31, [74.875], 1]",4.946567471607138,-0.5952088341377788,-0.7460256739409497,-0.15081683980317084,60.0,0.013772704599983577,0.45623706423993726,4.946567471607138,40.0,0.0
5,"[33, [51.659999999999997], 1]",-18.432267884323313,-0.6547179487179484,-0.6210256410256418,0.03369230769230658,120.0,0.005648103678149078,0.939704767639081,18.432267884323313,20.0,0.0
6,"[36, [80.907499999999999], 1]",4.149169040141104,-0.5334983337907087,-0.7029075738125794,-0.16940924002187074,60.0,0.026635131382279586,0.3672722473461477,4.149169040141104,40.0,0.0
