,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
0,"[16, [1], 0]",-19.27196982276551,-0.6513312580376089,-0.61920160987159,0.03212964816601893,99.0,0.03662280293886154,0.8680037236700969,19.27196982276551,1.0,0.0
1,"[16, [1, 2], 0]",-4.164930203040913,-0.7607263541285123,-0.6134394936631713,0.147286860465341,121.0,0.02029308830893098,0.7484756029133879,4.164930203040913,21.0,0.0
2,"[20, [1], 0]",-3.99663206324881,-0.8327972901140459,-0.6661255641249682,0.16667172598907776,103.0,0.01181575097121178,0.6299793052772449,3.99663206324881,3.0,0.0
3,"[31, [25.452500000000001], 2]",59.86301892308608,-0.8758359734947678,-0.8907151962991433,-0.01487922280437548,60.0,0.0016742089931744738,0.989058632434981,59.86301892308608,40.0,0.0
4,"[37, [70.060000000000002], 1]",5.941766991852548,-0.5400079769374608,-0.6492822462074948,-0.10927426927003392,60.0,0.04086631577869339,0.5689007023246431,5.941766991852548,40.0,0.0
5,"[38, [75.334999999999994], 1]",25.319825713635893,-0.7734421161393392,-0.805245062642598,-0.03180294650325877,60.0,0.03796907222690115,0.6593737178372043,25.319825713635893,40.0,0.0
6,"[39, [51.075000000000003], 2]",-2.5269482820695544,-1.2146836563800196,-0.8702828999086876,0.34440075647133206,120.0,0.0005185101130869311,0.2994966302233084,2.5269482820695544,20.0,0.0
