,rule,ratio,minus,trt_effect,nongroup_trt_effect,number,p_val,non_p_val,abs(ratio),abs(number-100),score
0,"[8, [1], 0]",-68.64773080355249,-0.731253051159265,-0.720753742097469,0.01049930906179597,92.0,0.00976070743487817,0.7946730134520351,68.64773080355249,8.0,0.0
1,"[21, [0], 0]",-12.823485309431328,-0.7609856148559082,-0.7059354160224265,0.05505019883348172,99.0,0.0024441634370973154,0.6905869394334289,12.823485309431328,1.0,0.0
2,"[21, [0, 2], 0]",-8.185318770332454,-0.7116370913887176,-0.6341615993364194,0.0774754920522982,114.0,0.00390701421721715,0.6635636076456165,8.185318770332454,14.0,0.0
3,"[27, [28.155000000000001], 2]",8.818294055974889,-0.7286425027748562,-0.8218396244945252,-0.09319712171966898,60.0,0.0225846460023123,0.46733505167429434,8.818294055974889,40.0,0.0
4,"[39, [76.587500000000006], 1]",27.368970553379608,-0.9371638240915905,-0.9727042264821373,-0.03554040239054679,60.0,0.006323786481426723,0.6483304399083218,27.368970553379608,40.0,0.0
5,"[42, [26.197499999999998], 2]",4.756895828870453,-0.5214214527452743,-0.6602119533331079,-0.1387905005878336,60.0,0.023189059631583242,0.40854390244461936,4.756895828870453,40.0,0.0
